"x"
"AAAS"
"ABAT"
"ABCA2"
"ABCC9"
"ABCD1"
"ABCD4"
"ABHD16A"
"ABHD5"
"ACAD9"
"ACADM"
"ACBD6"
"ACO2"
"ACOX1"
"ACSL4"
"ACTB"
"ACTG1"
"ACTL6A"
"ACTL6B"
"ACY1"
"ADAM22"
"ADAMTS10"
"ADAR"
"ADARB1"
"ADAT3"
"ADD3"
"ADGRG1"
"ADGRL1"
"ADK"
"ADNP"
"ADSL"
"AFF2"
"AFF3"
"AFF4"
"AGA"
"AGMO"
"AGO1"
"AGO2"
"AGTPBP1"
"AHCY"
"AHDC1"
"AHI1"
"AIFM1"
"AIMP1"
"AJAP1"
"AKT3"
"ALDH18A1"
"ALDH3A2"
"ALDH4A1"
"ALDH5A1"
"ALDH7A1"
"ALG1"
"ALG11"
"ALG12"
"ALG13"
"ALG14"
"ALG2"
"ALG3"
"ALG6"
"ALG8"
"ALG9"
"ALKBH8"
"ALMS1"
"AMER1"
"AMOTL1"
"AMPD2"
"AMT"
"ANK2"
"ANK3"
"ANKRD11"
"ANKRD17"
"ANKS1B"
"ANO4"
"AP1B1"
"AP1G1"
"AP1S1"
"AP1S2"
"AP2M1"
"AP2S1"
"AP3B1"
"AP3B2"
"AP4B1"
"AP4E1"
"AP4M1"
"AP4S1"
"APC2"
"ARCN1"
"ARF1"
"ARF3"
"ARFGEF1"
"ARFGEF2"
"ARG1"
"ARHGAP35"
"ARHGEF9"
"ARID1A"
"ARID1B"
"ARID2"
"ARL13B"
"ARL6"
"ARMC9"
"ARNTL"
"ARPC4"
"ARSA"
"ARSB"
"ARV1"
"ARX"
"ASAH1"
"ASCC3"
"ASH1L"
"ASL"
"ASNS"
"ASPA"
"ASPM"
"ASS1"
"ASTN1"
"ASXL1"
"ASXL2"
"ASXL3"
"ATAD1"
"ATAD3A"
"ATG4D"
"ATG7"
"ATIC"
"ATN1"
"ATP1A1"
"ATP1A2"
"ATP1A3"
"ATP2B1"
"ATP2B2"
"ATP5A1"
"ATP6AP1"
"ATP6AP2"
"ATP6V0A1"
"ATP6V0A2"
"ATP6V0C"
"ATP6V1A"
"ATP6V1B2"
"ATP7A"
"ATP8A2"
"ATP9A"
"ATR"
"ATRX"
"ATXN7L3"
"AUH"
"AUTS2"
"AXIN1"
"B3GALNT2"
"B3GLCT"
"B4GALNT1"
"B4GALT1"
"B4GALT7"
"B9D1"
"B9D2"
"BAIAP2"
"BAP1"
"BBIP1"
"BBS1"
"BBS10"
"BBS12"
"BBS2"
"BBS4"
"BBS5"
"BBS7"
"BBS9"
"BCAP31"
"BCAS3"
"BCKDHA"
"BCKDHB"
"BCKDK"
"BCL11A"
"BCL11B"
"BCOR"
"BCS1L"
"BHLHE22"
"BICRA"
"BLOC1S1"
"BMP4"
"BOLA3"
"BORCS5"
"BORCS8"
"BPTF"
"BRAF"
"BRAT1"
"BRD4"
"BRF1"
"BRF2"
"BRPF1"
"BRSK1"
"BRSK2"
"BRWD3"
"BSCL2"
"BSN"
"BSND"
"BTD"
"BUB1B"
"C12orf4"
"C12orf57"
"C12orf66"
"C14orf80"
"VPS35L"
"C1orf109"
"C2CD3"
"C2orf69"
"CA2"
"CA8"
"CACHD1"
"CACNA1A"
"CACNA1B"
"CACNA1C"
"CACNA1D"
"CACNA1E"
"CACNA1G"
"CACNA1I"
"CACNA2D1"
"CACNA2D2"
"CAD"
"CAMK2A"
"CAMK2B"
"CAMK2D"
"CAMK4"
"CAMSAP1"
"CAMTA1"
"CAPN15"
"CAPRIN1"
"CAPZA2"
"CARS2"
"CASK"
"CASP2"
"CBL"
"CBS"
"CBX1"
"CBY1"
"CC2D1A"
"CC2D2A"
"CCBE1"
"CCDC115"
"CCDC186"
"CCDC22"
"CCDC47"
"CCDC82"
"CCDC88A"
"CCDC88C"
"CCND2"
"CCNK"
"CCT3"
"CCT6A"
"CDC42"
"CDC42BPB"
"CDH11"
"CDH2"
"CDK10"
"CDK13"
"CDK16"
"CDK19"
"CDK5RAP2"
"CDK8"
"CDKL5"
"CDON"
"CELF2"
"CELF4"
"CELSR3"
"CENPF"
"CENPJ"
"CEP104"
"CEP120"
"CEP135"
"CEP152"
"CEP164"
"CEP290"
"CEP295"
"CEP41"
"CEP55"
"CEP57"
"CEP76"
"CEP83"
"CEP85L"
"CHAMP1"
"CHD1"
"CHD2"
"CHD3"
"CHD4"
"CHD5"
"CHD7"
"CHD8"
"CHKA"
"CHKB"
"CHMP1A"
"CHTF18"
"CIC"
"CIT"
"CKAP2L"
"CLCN3"
"CLCN4"
"CLCN6"
"CLCNKB"
"CLDN5"
"CLN3"
"CLN5"
"CLN6"
"CLN8"
"CLP1"
"CLPB"
"CLTC"
"CNKSR2"
"CNNM2"
"CNOT1"
"CNOT2"
"CNOT3"
"CNOT9"
"CNP"
"CNPY3"
"CNTNAP1"
"CNTNAP2"
"COASY"
"COG1"
"COG4"
"COG5"
"COG6"
"COG7"
"COG8"
"COL4A1"
"COL4A2"
"COLEC11"
"COPB1"
"COPB2"
"COQ4"
"COQ5"
"COQ8A"
"COX10"
"COX11"
"COX15"
"COX4I1"
"CPE"
"CPS1"
"CPSF3"
"CRADD"
"CRB2"
"CREBBP"
"CRELD1"
"CRIPT"
"CRLS1"
"CRMP1"
"CRNKL1"
"CSDE1"
"CSMD1"
"CSNK2A1"
"CSNK2B"
"CSPP1"
"CTBP1"
"CTCF"
"CTDP1"
"CTNNA2"
"CTNNB1"
"CTR9"
"CTSA"
"CTSD"
"CTU2"
"CUL1"
"CUL3"
"CUL4B"
"CUX1"
"CUX2"
"CWC27"
"CWF19L1"
"CYB5R3"
"CYFIP2"
"CYHR1"
"D2HGDH"
"DAG1"
"DAGLA"
"DARS2"
"DBT"
"DCAF17"
"DCHS1"
"DCPS"
"DCX"
"DDB1"
"DDC"
"DDHD2"
"DDOST"
"DDX11"
"DDX17"
"DDX23"
"DDX39B"
"DDX3X"
"DDX59"
"DDX6"
"DEAF1"
"DEGS1"
"DENND5A"
"DENND5B"
"DEPDC5"
"DHCR24"
"DHCR7"
"DHDDS"
"DHFR"
"DHPS"
"DHRSX"
"DHX30"
"DHX37"
"DHX9"
"DIAPH1"
"DIP2C"
"DIS3L2"
"DISP1"
"DKC1"
"DLAT"
"DLD"
"DLG3"
"DLG4"
"DLL1"
"DMAP1"
"DMD"
"DMXL2"
"DNAJC12"
"DNAJC19"
"DNM1"
"DNM1L"
"DNMT3A"
"DNMT3B"
"DOCK3"
"DOCK4"
"DOCK6"
"DOCK7"
"DOHH"
"DOLK"
"DOT1L"
"DPAGT1"
"DPF2"
"DPH1"
"DPH2"
"DPH5"
"DPM1"
"DPM2"
"DPYS"
"DPYSL5"
"DRG1"
"DTYMK"
"DYM"
"DYNC1H1"
"DYNC1I2"
"DYRK1A"
"EARS2"
"EBF3"
"EBP"
"EDEM3"
"EED"
"EEF1A2"
"EEF1B2"
"EEF1D"
"EEF2"
"EEFSEC"
"EFTUD2"
"EHMT1"
"EIF2AK2"
"EIF2AK3"
"EIF2S3"
"EIF3A"
"EIF3B"
"EIF3F"
"EIF4A2"
"EIF4A3"
"EIF5A"
"EIPR1"
"ELAC2"
"ELOVL4"
"ELP2"
"EMC1"
"EMC10"
"EML1"
"ENTPD1"
"EP300"
"EP400"
"EPB41L3"
"EPG5"
"ERCC1"
"ERCC2"
"ERCC3"
"ERCC5"
"ERCC6"
"ERCC6L2"
"ERCC8"
"ERF"
"ERI1"
"ERLIN2"
"ESAM"
"ESCO2"
"ESRRG"
"ETFA"
"ETFB"
"ETFDH"
"ETHE1"
"EXOC7"
"EXOSC3"
"EXOSC8"
"EXT2"
"EXTL3"
"EZH1"
"EZH2"
"FAM149B1"
"FAM177A1"
"FAM20C"
"FAM50A"
"FAR1"
"FARS2"
"FARSA"
"FARSB"
"FASTKD2"
"FASTKD5"
"FAT4"
